535405.999998 2101188.529411 58.0353
533328.756756 2100229.162162 58.0331
535483.000000 2101207.294118 58.0317
533693.868425 2100822.736843 58.0301
533339.342861 2100474.571423 58.0292
533835.770810 2100969.973315 58.0269
535351.750000 2101305.750000 58.0257
533626.726141 2100804.203319 58.0236
533578.062789 2100896.240187 58.0218
535510.872825 2101449.238614 58.0214
533268.779658 2100489.440677 58.0205
533301.916669 2100275.916667 58.0192
533695.907891 2100823.315789 58.0183
533839.161691 2100970.943484 58.0181
534580.181818 2100794.954545 58.0177
534842.866567 2101258.114601 58.0161
535349.458332 2101305.125000 58.0135
535486.500000 2101208.147059 58.0134
533842.552604 2100971.913662 58.0102
533697.947366 2100823.894736 58.0062
533624.701244 2100803.676348 58.0067
533845.943485 2100972.883830 58.0031
535456.526319 2101334.263159 58.0021
535347.166668 2101304.500000 58.0020
533849.334366 2100973.853999 57.9966
535490.000000 2101209.000000 57.9959
